"","word","freq"
"1","<>","0.10958904109589"
"2","<>","0.32258064516129"
"3","<>","0.25"
"4","a","0.0947368421052632"
"5","<>","0.147368421052632"
"6","se","0.0860215053763441"
"7","na","0.0860215053763441"
"8","<>","0.118279569892473"
"9","<>","0.206896551724138"
"10","a","0.078125"
"11","<>","0.234375"
"12","sem","1"
"13","<>","0.428571428571429"
"14","<>","0.358974358974359"
"15","a","0.0970873786407767"
"16","<>","0.174757281553398"
"17","<>","0.409090909090909"
"18","a","0.129032258064516"
"19","<>","0.193548387096774"
"20","že","1"
"21","a","0.0948275862068965"
"22","<>","0.241379310344828"
"23","<>","0.37962962962963"
"24","a","0.0869565217391304"
"25","<>","0.195652173913043"
"26","že","1"
"27","málo","0.9"
"28","je","0.296296296296296"
"29","<>","0.333333333333333"
"30","<>","0.196969696969697"
"31","<>","0.333333333333333"
"32","<>","0.243243243243243"
"33","<>","0.34375"
"34","a","0.0552486187845304"
"35","<>","0.160220994475138"
"36","zda","0.32"
"37","<>","0.325581395348837"
"38","podnik","1"
"39","www.lomp.cz","1"
"40","<>","0.294117647058824"
"41","<>","0.409090909090909"
"42","<>","0.321428571428571"
"43","má","1"
"44","<>","0.119565217391304"
"45","<>","0.571428571428571"
"46","podnik","1"
"47","<>","1"
"48","že","1"
"49","zmìnil","1"
"50","podniku","1"
"51","www.lomp.cz","1"
"52","to","0.962962962962963"
"53","se.najez","0.9"
"54","ráda","1"
"55","spam","0.9375"
"56","pøidal","0.533333333333333"
"57","zmìnil","0.466666666666667"
"58","se","0.135135135135135"
"59","jsem","0.135135135135135"
"60","nebo","1"
"61","polohu","1"
"62","<>","0.155172413793103"
"63","nebo","0.846153846153846"
"64","<>","1"
"65","podnik","1"
"66","<>","0.352941176470588"
"67","na","0.0816326530612245"
"68","<>","0.0884353741496599"
"69","<>","0.211678832116788"
"70","<>","0.36144578313253"
"71","<>","0.191176470588235"
"72","<>","0.393939393939394"
"73","a","0.0516351118760757"
"74","se","0.0258175559380379"
"75","v","0.0258175559380379"
"76","je","0.0206540447504303"
"77","které","0.0154905335628227"
"78","na","0.0154905335628227"
"79","<>","0.156626506024096"
"80","<>","0.2"
"81","a","0.050561797752809"
"82","<>","0.117977528089888"
"83","<>","0.361702127659574"
"84","a","0.109756097560976"
"85","<>","0.195121951219512"
"86","<>","0.347826086956522"
"87","v","0.0813008130081301"
"88","a","0.0813008130081301"
"89","<>","0.138211382113821"
"90","<>","0.150943396226415"
"91","<>","0.263157894736842"
"92","a","0.125"
"93","<>","0.140625"
"94","<>","0.166666666666667"
"95","<>","0.348484848484849"
"96","a","0.130653266331658"
"97","<>","0.14070351758794"
"98","<>","0.163265306122449"
"99","<>","0.545454545454545"
"100","to","0.692307692307692"
"101","že","1"
"102","<>","0.45"
"103","se","0.0256709451575263"
"104","na","0.0233372228704784"
"105","a","0.0221703617269545"
"106","je","0.0175029171528588"
"107","si","0.0128354725787631"
"108","v","0.0116686114352392"
"109","do","0.0105017502917153"
"110","to","0.00933488914819136"
"111","s","0.00933488914819136"
"112","<>","0.231038506417736"
"113","a","0.115107913669065"
"114","<>","0.215827338129496"
"115","<>","0.207207207207207"
"116","<>","0.179856115107914"
"117","<>","0.241379310344828"
"118","<>","0.19811320754717"
"119","a","0.0964912280701754"
"120","<>","0.271929824561404"
"121","<>","0.180555555555556"
"122","<>","0.15"
"123","<>","0.235294117647059"
"124","<>","0.2"
"125","další","0.0260223048327138"
"126","na","0.0148698884758364"
"127","<>","0.345724907063197"
"128","<>","0.1875"
"129","<>","0.247422680412371"
"130","<>","0.172043010752688"
"131","<>","0.134328358208955"
"132","<>","0.366666666666667"
"133","<>","0.203389830508475"
"134","<>","0.46"
"135","<>","0.236842105263158"
"136","<>","0.333333333333333"
"137","<>","0.421052631578947"
"138","<>","0.576923076923077"
"139","a","0.1280276816609"
"140","na","0.0181660899653979"
"141","se","0.0129757785467128"
"142","z","0.0121107266435986"
"143","v","0.0121107266435986"
"144","nebo","0.0112456747404844"
"145","s","0.0103806228373702"
"146","ale","0.00865051903114187"
"147","je","0.00865051903114187"
"148","i","0.0069204152249135"
"149","o","0.0069204152249135"
"150","<>","0.261245674740484"
